Bat Or Bowl,Ground,Opposition,Player,Start Date,team,4S,6S,Bat sum,Bb Bf,Bowl Sum,Econ,Inns,Mdns,Mins,Not Out,Overs,Runs,Runs Per Ball,Sr,Wicketball Prob,Wkts
bowl,Bengaluru,v Netherlands,R Sharma (IND),12-11-2023,INDIA,,,0,5,7,8.4,2,0,,,0.5,7,1.4,,0.2,1
bowl,Wankhede,v New Zealand,Mohammed Siraj (IND),15-11-2023,INDIA,,,0,54,78,8.66,2,0,,,9,78,1.444444444,,0.018518519,1
bowl,Wankhede,v New Zealand,Kuldeep Yadav (IND),15-11-2023,INDIA,,,0,60,56,5.6,2,0,,,10,56,0.933333333,,0.016666667,1
bowl,Bengaluru,v Netherlands,V Kohli (IND),12-11-2023,NETHERLAND,,,0,18,13,4.33,2,0,,,3,13,0.722222222,,0.055555556,1
bowl,Eden Gardens,v Australia,K Rabada (SA),16-11-2023,SOUTH AFRICA,,,0,36,41,6.83,2,0,,,6,41,1.138888889,,0.027777778,1
bowl,Eden Gardens,v Australia,KA Maharaj (SA),16-11-2023,SOUTH AFRICA,,,0,60,24,2.4,2,0,,,10,24,0.4,,0.016666667,1
bowl,Eden Gardens,v Pakistan,AAP Atkinson (ENG),11-11-2023,ENGLAND,,,0,48,45,5.62,2,0,,,8,45,0.9375,,0.041666667,2
bowl,Eden Gardens,v Pakistan,AU Rashid (ENG),11-11-2023,ENGLAND,,,0,60,55,5.5,2,0,,,10,55,0.916666667,,0.033333333,2
bowl,Eden Gardens,v Pakistan,MM Ali (ENG),11-11-2023,ENGLAND,,,0,60,60,6,2,0,,,10,60,1,,0.033333333,2
bowl,Bengaluru,v Netherlands,RA Jadeja (IND),12-11-2023,INDIA,,,0,54,49,5.44,2,0,,,9,49,0.907407407,,0.037037037,2
bowl,Eden Gardens,v Australia,G Coetzee (SA),16-11-2023,SOUTH AFRICA,,,0,54,47,5.22,2,0,,,9,47,0.87037037,,0.037037037,2
bowl,Eden Gardens,v Australia,T Shamsi (SA),16-11-2023,SOUTH AFRICA,,,0,60,42,4.2,2,0,,,10,42,0.7,,0.033333333,2
bowl,Eden Gardens,v Pakistan,DJ Willey (ENG),11-11-2023,ENGLAND,,,0,60,56,5.6,2,0,,,10,56,0.933333333,,0.05,3
bowl,Wankhede,v New Zealand,Mohammed Shami (IND),15-11-2023,INDIA,,,0,59,57,5.79,2,0,,,9.5,57,0.966101695,,0.118644068,7
bowl,Pune,v Australia,Mustafizur Rahman (BAN),11-11-2023,BANGLADESH,,,0,58,76,7.86,2,1,,,9.4,76,1.310344828,,0.017241379,1
bowl,Wankhede,v New Zealand,JJ Bumrah (IND),15-11-2023,INDIA,,,0,60,64,6.4,2,1,,,10,64,1.066666667,,0.016666667,1
bowl,Eden Gardens,v Australia,AK Markram (SA),16-11-2023,SOUTH AFRICA,,,0,48,23,2.87,2,1,,,8,23,0.479166667,,0.020833333,1
bowl,Bengaluru,v Netherlands,Mohammed Siraj (IND),12-11-2023,INDIA,,,0,36,29,4.83,2,1,,,6,29,0.805555556,,0.055555556,2
bowl,Bengaluru,v Netherlands,JJ Bumrah (IND),12-11-2023,INDIA,,,0,54,33,3.66,2,1,,,9,33,0.611111111,,0.037037037,2
bowl,Bengaluru,v Netherlands,Kuldeep Yadav (IND),12-11-2023,INDIA,,,0,60,41,4.1,2,1,,,10,41,0.683333333,,0.033333333,2
